Model,Threshold,Precision,Recall,F1,F2,ROC-AUC,Average Precision,Specificity,False Positive Rate,False Negative Rate,Review Rate,TN,FP,FN,TP
CatBoost,0.15000000000000002,0.7037037037037037,0.8,0.7487684729064039,0.7786885245899485,0.9757306276936627,0.8138259782441386,0.9994351379499038,0.0005648620500962031,0.2,0.0019032178479540408,56619,32,19,76
CatBoost,0.16,0.7307692307692307,0.8,0.763819095477387,0.7851239669419379,0.9757306276936627,0.8138259782441386,0.9995057457061658,0.0004942542938341777,0.2,0.001832728298029817,56623,28,19,76
CatBoost,0.17,0.7524752475247525,0.8,0.7755102040816327,0.7900207900205827,0.9757306276936627,0.8138259782441386,0.9995587015233623,0.00044129847663765867,0.2,0.0017798611355866493,56626,25,19,76
CatBoost,0.18000000000000002,0.76,0.8,0.7794871794871796,0.7916666666664606,0.9757306276936627,0.8138259782441386,0.9995763534624279,0.0004236465375721523,0.2,0.0017622387481055933,56627,24,19,76
CatBoost,0.19,0.7755102040816326,0.8,0.7875647668393783,0.7949790794977042,0.9757306276936627,0.8138259782441386,0.9996116573405589,0.0003883426594411396,0.2,0.0017269939731434814,56629,22,19,76
CatBoost,0.2,0.7835051546391752,0.8,0.7916666666666666,0.7966457023058771,0.9757306276936627,0.8138259782441386,0.9996293092796243,0.00037069072037563324,0.2,0.0017093715856624256,56630,21,19,76
CatBoost,0.21000000000000002,0.7916666666666666,0.8,0.7958115183246073,0.7983193277308911,0.9757306276936627,0.8138259782441386,0.9996469612186899,0.0003530387813101269,0.2,0.0016917491981813695,56631,20,19,76
CatBoost,0.22,0.8,0.8,0.8000000000000002,0.7999999999998,0.9757306276936627,0.8138259782441386,0.9996646131577553,0.0003353868422446206,0.2,0.0016741268107003137,56632,19,19,76
CatBoost,0.23,0.8085106382978723,0.8,0.8042328042328043,0.8016877637128813,0.9757306276936627,0.8138259782441386,0.9996822650968209,0.00031773490317911425,0.2,0.0016565044232192576,56633,18,19,76
CatBoost,0.24000000000000002,0.8351648351648352,0.8,0.8172043010752689,0.8067940552015037,0.9757306276936627,0.8138259782441386,0.9997352209140175,0.0002647790859825952,0.2,0.00160363726077609,56636,15,19,76
CatBoost,0.25,0.8351648351648352,0.8,0.8172043010752689,0.8067940552015037,0.9757306276936627,0.8138259782441386,0.9997352209140175,0.0002647790859825952,0.2,0.00160363726077609,56636,15,19,76
CatBoost,0.26,0.8444444444444444,0.8,0.8216216216216217,0.8085106382976789,0.9757306276936627,0.8138259782441386,0.9997528728530829,0.0002471271469170888,0.2,0.0015860148732950341,56637,14,19,76
CatBoost,0.27,0.8636363636363636,0.8,0.8306010928961749,0.8119658119656211,0.9757306276936627,0.8138259782441386,0.9997881767312139,0.00021182326878607614,0.2,0.0015507700983329222,56639,12,19,76
CatBoost,0.28,0.8837209302325582,0.8,0.839779005524862,0.8154506437766359,0.9757306276936627,0.8138259782441386,0.9998234806093449,0.00017651939065506346,0.2,0.0015155253233708104,56641,10,19,76
CatBoost,0.29000000000000004,0.8837209302325582,0.8,0.839779005524862,0.8154506437766359,0.9757306276936627,0.8138259782441386,0.9998234806093449,0.00017651939065506346,0.2,0.0015155253233708104,56641,10,19,76
CatBoost,0.3,0.8837209302325582,0.8,0.839779005524862,0.8154506437766359,0.9757306276936627,0.8138259782441386,0.9998234806093449,0.00017651939065506346,0.2,0.0015155253233708104,56641,10,19,76
CatBoost,0.31,0.8837209302325582,0.8,0.839779005524862,0.8154506437766359,0.9757306276936627,0.8138259782441386,0.9998234806093449,0.00017651939065506346,0.2,0.0015155253233708104,56641,10,19,76
CatBoost,0.32,0.8837209302325582,0.8,0.839779005524862,0.8154506437766359,0.9757306276936627,0.8138259782441386,0.9998234806093449,0.00017651939065506346,0.2,0.0015155253233708104,56641,10,19,76
